texto,intencion_real,intencion_pred,confianza_%,correcto,split
quier ver el catalogo,ver_catalogo,ver_catalogo,96.0,True,train
busco una escalera,buscar_producto,buscar_producto,99.0,True,train
limpieza?,buscar_productos_por_categoria,buscar_productos_por_categoria,67.0,True,train
martillo tienes,buscar_productos_por_categoria,buscar_productos_por_categoria,87.83,True,train
hey,saludo,saludo,99.08,True,train
nos vemos,despedida,despedida,76.45,True,train
teneis catalogos?,ver_catalogo,ver_catalogo,80.0,True,train
holiss,saludo,saludo,90.05,True,train
heyyy,saludo,saludo,90.05,True,train
holaa amigo,saludo,saludo,98.88,True,train
necesito una llave inglesa,buscar_producto,buscar_producto,89.0,True,train
productos para limpieza,buscar_productos_por_categoria,buscar_productos_por_categoria,99.0,True,train
que tienen de construccion,buscar_productos_por_categoria,buscar_productos_por_categoria,86.0,True,train
quiero ver productos de limpieza,buscar_productos_por_categoria,buscar_productos_por_categoria,99.0,True,train
hola,saludo,saludo,100.0,True,train
quiero brocas,buscar_productos_por_categoria,buscar_productos_por_categoria,81.75,True,train
tienes martillos,buscar_productos_por_categoria,buscar_productos_por_categoria,73.15,True,train
busco una cinta métrica,buscar_producto,buscar_producto,99.0,True,train
q tal,saludo,saludo,97.66,True,train
tienen clavos,buscar_producto,buscar_producto,90.0,True,train
muchas gracias adios,despedida,despedida,100.0,True,train
tienes cables?,buscar_producto,buscar_producto,86.42,True,train
hola como estas,saludo,saludo,100.0,True,train
adios,despedida,despedida,96.55,True,train
busco acero que me recomeindas,buscar_producto,buscar_producto,69.0,True,train
como estas,saludo,saludo,99.11,True,train
holi,saludo,saludo,99.05,True,train
nos vemos luego,despedida,despedida,86.11,True,train
muestrame productos para el hogar,buscar_productos_por_categoria,buscar_productos_por_categoria,86.0,True,train
hola,saludo,saludo,100.0,True,train
listame los productos de la categoria acabados,buscar_productos_por_categoria,buscar_productos_por_categoria,99.0,True,train
adios que este bien,despedida,despedida,89.05,True,train
hay martillos en stock,buscar_producto,buscar_producto,70.18,True,train
que tienen para limpieza,buscar_productos_por_categoria,buscar_productos_por_categoria,100.0,True,train
alooo,saludo,saludo,90.05,True,train
muy buenos dias,saludo,saludo,91.08,True,train
Hola,saludo,saludo,100.0,True,train
cuanto esta el cemento andino?,buscar_producto_por_precio,buscar_producto_por_precio,83.0,True,train
dame le catalogo,ver_catalogo,ver_catalogo,99.0,True,train
hola,saludo,saludo,100.0,True,train
listame todos los productos de la categoria acabados,buscar_productos_por_categoria,buscar_productos_por_categoria,99.0,True,train
que tienen para plomeria,buscar_productos_por_categoria,buscar_productos_por_categoria,97.0,True,train
hasta luego,despedida,despedida,100.0,True,train
necesito comprar clavos,buscar_producto,buscar_producto,72.0,True,train
perfecto gracias,despedida,despedida,87.29,True,train
buen diaa,saludo,saludo,94.62,True,train
hey,saludo,saludo,99.08,True,train
tiene catalogo?,ver_catalogo,ver_catalogo,100.0,True,train
tiene sapolio mata todo?,buscar_producto,buscar_producto,64.0,True,train
que venen ?,ver_catalogo,ver_catalogo,80.0,True,train
que articulos tienen para pintura,buscar_productos_por_categoria,buscar_productos_por_categoria,90.0,True,train
holaaaa,saludo,saludo,98.22,True,train
martillo?,buscar_productos_por_categoria,buscar_productos_por_categoria,81.0,True,train
busco martillos,buscar_productos_por_categoria,buscar_productos_por_categoria,65.7,True,train
quiero ver el catalogo,ver_catalogo,ver_catalogo,98.0,True,train
muestrame productos de limpieza,buscar_productos_por_categoria,buscar_productos_por_categoria,99.0,True,train
olaaa,saludo,saludo,90.05,True,train
catalogo,ver_catalogo,ver_catalogo,100.0,True,train
en cuanto me sale el cemento sol,buscar_producto_por_precio,buscar_producto_por_precio,98.0,True,train
saludos,saludo,saludo,90.05,True,train
holis,saludo,saludo,90.05,True,train
quiero los catalogos,ver_catalogo,ver_catalogo,89.0,True,train
tienes catalogo?,ver_catalogo,ver_catalogo,89.0,True,train
gracias hasta luego,despedida,despedida,99.1,True,train
hola,saludo,saludo,100.0,True,train
dame las marcas de acabados interiores pvc,buscar_productos_por_categoria,buscar_productos_por_categoria,77.0,True,train
tiene borcas?,buscar_productos_por_categoria,buscar_productos_por_categoria,67.0,True,train
quiero ver el catalogo,ver_catalogo,ver_catalogo,98.0,True,train
tienes martillos?,buscar_productos_por_categoria,buscar_productos_por_categoria,73.15,True,train
tienes productos para limpieza?,buscar_productos_por_categoria,buscar_productos_por_categoria,100.0,True,train
quiero ver el catalogo,ver_catalogo,ver_catalogo,98.0,True,train
como estas,saludo,saludo,99.11,True,train
quiero saber si tienen alicates,buscar_producto,buscar_producto,78.0,True,train
quiero ver productos de electricidad,buscar_productos_por_categoria,buscar_productos_por_categoria,96.0,True,train
que tenga buen dia,despedida,despedida,65.03,True,train
tienes producto para limpieza?,buscar_productos_por_categoria,buscar_productos_por_categoria,87.25,True,train
HOLA,saludo,saludo,100.0,True,train
tienes productos para limpieza?,buscar_productos_por_categoria,buscar_productos_por_categoria,100.0,True,train
muestrame tu catalogo,ver_catalogo,ver_catalogo,97.0,True,train
hola,saludo,saludo,100.0,True,train
